Player,No,Pos,Status,Height,Weight,Experience,College
Josh Woods,55,LB,ACT,6-1,236,3,Maryland
Javon Wims,15,WR,ACT,6-2,221,4,Georgia
Damien Williams,8,RB,ACT,5-11,221,7,Oklahoma
Elijah Wilkinson,70,OT,ACT,6-4,329,5,Massachusetts
Cody Whitehair,65,C,ACT,6-3,309,6,Kansas State
Tyrone Wheatley Jr.,72,OL,ACT,6-6,265,R,Stony Brook
Jester Weah,82,WR,ACT,6-3,209,1,Pittsburgh
Kindle Vildor,22,CB,ACT,5-11,190,2,Georgia Southern
James Vaughters,93,LB,ACT,6-2,255,2,Stanford
Desmond Trufant,21,CB,ACT,6-1,190,9,Washington
Danny Trevathan,59,ILB,ACT,6-0,237,10,Kentucky
Badara Traore,79,OT,ACT,6-7,320,1,LSU
Khyiris Tonga,95,DT,ACT,6-4,321,R,Brigham Young
Teez Tabor,37,CB,ACT,6-0,201,3,Florida
Charles Snowden,49,LB,ACT,6-7,240,R,Virginia
Roquan Smith,58,ILB,ACT,6-0,230,4,Georgia
Lachavious Simmons,73,OG,ACT,6-5,315,2,Tennessee State
Duke Shelley,20,CB,ACT,5-8,183,3,Kansas State
Patrick Scales,48,LS,ACT,6-3,226,6,Utah State
Cairo Santos,2,K,ACT,5-8,160,7,Tulane
Dionte Ruffin,24,DB,ACT,5-11,185,R,Western Kentucky
Allen Robinson,12,WR,ACT,6-2,220,8,Penn State
Tre Roberson,31,DB,ACT,6-0,205,1,Illinois State
Riley Ridley,88,WR,ACT,6-1,200,3,Georgia
Adam Redmond,62,C,ACT,6-6,290,3,Harvard
Robert Quinn,94,DE,ACT,6-4,250,11,North Carolina
Michael Pinckney,0,LB,ACT,6-1,226,1,Miami (Fla.)
Artavis Pierce,46,RB,ACT,5-11,208,2,Oregon State
Mike Pennel,64,DT,ACT,6-4,332,8,Colorado State-Pueblo
Dareuan Parker,69,OG,ACT,6-4,355,R,Mississippi State
Alec Ogletree,52,OLB,ACT,6-3,250,8,Georgia
Pat O'Donnell,16,P,ACT,6-4,212,8,Miami (Fla.)
Bilal Nichols,98,DT,ACT,6-3,313,4,Delaware
Dazz Newsome,83,WR,ACT,5-11,190,R,North Carolina
Ryan Nall,35,RB,ACT,6-2,239,3,Oregon State
