Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Redskins  Redskins,218,78,17,10,174,49.6,89,22.8,1026,2007
Buccaneers  Buccaneers,224,92,16,9,158,53.2,93,20.5,977,2007
Seahawks  Seahawks,232,88,17,5,183,55.0,78,18.5,1035,2007
49ers  49ers,241,97,13,7,187,54.2,94,18.7,1078,2007
Chargers  Chargers,211,83,26,9,185,54.7,89,21.4,1013,2007
Steelers  Steelers,215,87,19,6,158,54.1,74,20.5,933,2007
Cardinals  Cardinals,218,87,15,7,185,51.2,90,22.1,1013,2007
Eagles  Eagles,218,81,13,3,177,56.7,80,19.9,979,2007
Jets  Jets,211,89,10,8,174,60.2,128,24.8,1016,2007
Giants  Giants,211,73,16,10,185,60.5,83,20.3,984,2007
Saints  Saints,206,86,19,7,196,59.9,80,19.6,964,2007
Patriots  Patriots,187,63,20,11,172,54.8,91,25.3,933,2007
Vikings  Vikings,234,94,18,7,222,53.5,67,17.7,1063,2007
Dolphins  Dolphins,208,98,10,6,165,68.2,129,23.7,983,2007
Raiders  Raiders,210,82,11,6,156,59.8,121,24.9,952,2007
Rams  Rams,201,78,10,6,190,59.7,105,23.6,999,2007
Chiefs  Chiefs,208,65,11,2,156,56.5,104,21.6,980,2007
Jaguars  Jaguars,201,80,23,11,181,56.7,92,23.6,970,2007
Colts  Colts,208,94,25,14,162,49.8,111,24.4,980,2007
Texans  Texans,198,83,16,8,197,54.6,107,25.7,994,2007
Titans  Titans,230,97,16,8,165,47.3,80,21.7,978,2007
Packers  Packers,209,69,24,9,176,59.7,77,18.2,994,2007
Lions  Lions,213,97,12,9,221,52.4,116,25.9,1087,2007
Broncos  Broncos,213,91,13,10,168,60.2,119,23.8,992,2007
Cowboys  Cowboys,216,85,18,10,195,57.0,86,22.6,1008,2007
Browns  Browns,215,79,25,11,211,62.1,100,21.7,1066,2007
Bengals  Bengals,201,86,17,9,200,56.7,98,21.8,1011,2007
Bears  Bears,223,73,13,8,185,53.9,100,22.0,1036,2007
Panthers  Panthers,226,96,14,7,174,51.6,100,21.2,1032,2007
Bills  Bills,224,101,22,10,203,57.3,104,22.9,1047,2007
Ravens  Ravens,224,82,13,7,162,55.3,69,15.5,968,2007
Falcons  Falcons,210,78,21,11,190,56.5,105,21.8,1042,2007
Redskins  Redskins,208,74,12,8,159,54.8,86,21.6,933,2008
Buccaneers  Buccaneers,214,81,13,5,153,55.4,87,19.7,945,2008
Seahawks  Seahawks,222,94,13,8,207,56.6,98,21.4,1058,2008
49ers  49ers,219,83,19,12,170,51.4,104,23.0,1027,2008
Chargers  Chargers,207,84,24,13,213,51.8,98,24.0,1041,2008
Steelers  Steelers,226,71,21,10,149,49.5,73,18.7,974,2008
Cardinals  Cardinals,207,92,17,13,172,53.3,117,26.3,993,2008
Eagles  Eagles,227,73,14,5,144,50.7,79,18.8,994,2008
Jets  Jets,210,81,18,13,209,56.8,86,21.1,1020,2008
Giants  Giants,204,83,16,5,165,55.7,78,20.2,931,2008
Saints  Saints,206,82,14,8,180,60.2,100,22.5,999,2008
Patriots  Patriots,205,91,10,2,176,61.1,78,18.8,920,2008
Vikings  Vikings,203,68,13,5,163,50.3,72,19.4,946,2008
Dolphins  Dolphins,209,79,19,11,173,54.1,96,24.7,979,2008
Raiders  Raiders,232,103,13,9,166,62.4,129,23.8,1045,2008
Rams  Rams,187,74,6,4,158,56.8,146,29.1,975,2008
Chiefs  Chiefs,211,100,14,6,195,56.0,133,26.1,1041,2008
Jaguars  Jaguars,200,82,11,5,166,55.9,98,22.9,922,2008
Colts  Colts,211,100,7,3,165,50.2,119,25.2,983,2008
Texans  Texans,188,74,13,10,167,56.8,114,26.0,935,2008
Titans  Titans,226,79,18,8,166,48.5,81,20.1,1022,2008
Packers  Packers,210,80,23,17,141,49.1,121,26.4,1003,2008
Lions  Lions,197,90,10,6,188,62.0,147,27.4,1009,2008
Broncos  Broncos,202,89,18,10,186,55.9,122,26.0,990,2008
Cowboys  Cowboys,216,77,14,8,163,52.9,85,21.1,969,2008
Browns  Browns,207,95,17,11,176,61.5,125,23.1,1004,2008
Bengals  Bengals,218,93,11,5,169,53.7,106,21.6,1013,2008
Bears  Bears,232,81,21,10,208,54.3,93,21.3,1087,2008
Panthers  Panthers,219,87,20,9,178,53.5,100,23.1,1026,2008
Bills  Bills,202,73,16,8,167,55.5,113,24.8,971,2008
Ravens  Ravens,212,71,16,3,152,55.1,58,15.8,928,2008
Falcons  Falcons,208,79,20,10,189,58.2,108,26.0,998,2008
Redskins  Redskins,219,87,17,4,176,56.1,85,18.9,1000,2009
Buccaneers  Buccaneers,214,86,15,9,171,56.8,129,24.4,1039,2009
Seahawks  Seahawks,223,87,12,6,204,54.5,80,18.7,1024,2009
49ers  49ers,240,88,15,6,176,50.0,77,18.1,1050,2009
