Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year
Redskins  Redskins,18,10,0,9,6,2007
Buccaneers  Buccaneers,27,19,1,7,11,2007
Seahawks  Seahawks,25,14,1,5,9,2007
49ers  49ers,12,9,1,5,2,2007
Chargers  Chargers,19,18,3,1,8,2007
Steelers  Steelers,25,14,0,7,11,2007
Cardinals  Cardinals,14,11,0,5,9,2007
Eagles  Eagles,10,8,0,2,4,2007
Jets  Jets,10,6,1,2,3,2007
Giants  Giants,16,10,2,5,7,2007
Saints  Saints,17,10,2,6,12,2007
Patriots  Patriots,20,12,3,3,3,2007
Vikings  Vikings,22,16,2,9,15,2007
Dolphins  Dolphins,14,8,1,4,3,2007
Raiders  Raiders,13,8,0,2,10,2007
Rams  Rams,17,9,0,6,6,2007
Chiefs  Chiefs,14,8,1,5,6,2007
Jaguars  Jaguars,15,9,1,3,4,2007
Colts  Colts,20,15,1,5,10,2007
Texans  Texans,18,14,3,7,6,2007
Titans  Titans,16,12,0,5,8,2007
Packers  Packers,13,9,3,2,5,2007
Lions  Lions,25,18,1,7,13,2007
Broncos  Broncos,21,15,2,4,13,2007
Cowboys  Cowboys,20,10,1,3,5,2007
Browns  Browns,12,10,0,3,7,2007
Bengals  Bengals,16,15,2,2,13,2007
Bears  Bears,24,17,0,5,15,2007
Panthers  Panthers,18,16,1,7,14,2007
Bills  Bills,12,12,1,4,11,2007
Ravens  Ravens,11,6,0,2,2,2007
Falcons  Falcons,16,11,1,3,4,2007
Redskins  Redskins,11,5,0,4,8,2008
Buccaneers  Buccaneers,12,8,1,3,7,2008
Seahawks  Seahawks,22,11,1,4,8,2008
49ers  49ers,12,6,0,3,8,2008
Chargers  Chargers,13,9,1,6,3,2008
Steelers  Steelers,12,9,1,1,3,2008
Cardinals  Cardinals,20,17,1,5,10,2008
Eagles  Eagles,21,14,3,5,8,2008
Jets  Jets,29,16,2,10,8,2008
Giants  Giants,15,5,0,4,5,2008
Saints  Saints,10,7,0,2,7,2008
Patriots  Patriots,13,8,0,4,3,2008
Vikings  Vikings,22,13,2,7,11,2008
Dolphins  Dolphins,17,12,0,5,9,2008
Raiders  Raiders,15,8,0,4,8,2008
Rams  Rams,18,14,1,8,8,2008
Chiefs  Chiefs,20,16,1,7,16,2008
Jaguars  Jaguars,11,4,1,1,3,2008
Colts  Colts,22,11,2,5,7,2008
Texans  Texans,15,10,0,6,7,2008
Titans  Titans,23,11,0,6,9,2008
Packers  Packers,14,6,1,5,9,2008
Lions  Lions,22,16,1,3,11,2008
Broncos  Broncos,9,7,2,3,7,2008
Cowboys  Cowboys,17,14,0,5,12,2008
Browns  Browns,11,8,0,2,9,2008
Bengals  Bengals,13,12,2,5,10,2008
Bears  Bears,8,10,2,5,3,2008
Panthers  Panthers,17,13,2,6,4,2008
Bills  Bills,15,12,0,6,6,2008
Ravens  Ravens,13,8,1,5,5,2008
Falcons  Falcons,10,8,0,1,6,2008
Redskins  Redskins,17,6,0,1,10,2009
Buccaneers  Buccaneers,10,10,0,1,7,2009
Seahawks  Seahawks,13,10,1,0,7,2009
49ers  49ers,23,15,2,8,7,2009
Chargers  Chargers,18,10,2,2,11,2009
Steelers  Steelers,14,10,1,3,4,2009
Cardinals  Cardinals,12,8,0,3,6,2009
Eagles  Eagles,15,13,2,2,8,2009
Jets  Jets,15,14,1,2,6,2009
Giants  Giants,20,11,1,3,6,2009
Saints  Saints,15,13,3,5,3,2009
Patriots  Patriots,18,10,0,7,9,2009
Vikings  Vikings,23,13,1,8,8,2009
Dolphins  Dolphins,14,6,1,1,5,2009
Raiders  Raiders,13,12,0,3,12,2009
Rams  Rams,14,11,0,7,7,2009
Chiefs  Chiefs,11,13,1,5,5,2009
Jaguars  Jaguars,15,10,0,3,15,2009
Colts  Colts,14,9,0,5,5,2009
Texans  Texans,13,13,1,6,10,2009
Titans  Titans,13,7,0,3,7,2009
Packers  Packers,12,10,1,4,10,2009
Lions  Lions,18,13,1,3,9,2009
Broncos  Broncos,20,13,2,4,13,2009
Cowboys  Cowboys,17,10,0,4,7,2009
Browns  Browns,11,9,0,1,9,2009
Bengals  Bengals,11,6,1,4,6,2009
Bears  Bears,23,15,0,9,10,2009
Panthers  Panthers,22,15,0,6,10,2009
Bills  Bills,13,5,0,2,6,2009
Ravens  Ravens,15,10,1,6,5,2009
Falcons  Falcons,20,13,2,4,12,2009
Redskins  Redskins,19,13,1,6,7,2010
Buccaneers  Buccaneers,12,9,0,2,7,2010
Seahawks  Seahawks,16,10,0,4,7,2010
49ers  49ers,13,7,0,4,4,2010
Chargers  Chargers,11,6,0,5,2,2010
Steelers  Steelers,24,14,0,4,5,2010
Cardinals  Cardinals,13,13,4,4,10,2010
Eagles  Eagles,11,11,1,2,7,2010
Jets  Jets,17,18,0,2,12,2010
Giants  Giants,34,23,0,9,5,2010
Saints  Saints,25,16,0,10,8,2010
Patriots  Patriots,11,13,1,3,9,2010
Vikings  Vikings,12,10,1,3,7,2010
Dolphins  Dolphins,13,8,1,1,4,2010
Raiders  Raiders,15,12,1,2,6,2010
Rams  Rams,23,12,0,5,5,2010
Chiefs  Chiefs,18,9,0,2,9,2010
Jaguars  Jaguars,8,5,0,4,4,2010
Colts  Colts,12,11,1,5,7,2010
Texans  Texans,11,5,0,3,5,2010
