Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Redskins  Redskins,351,3622,10.3,20,36,7,60,174,49.6,9,83,2007
Buccaneers  Buccaneers,297,2935,9.9,18,24,7,58,158,53.2,7,68,2007
Seahawks  Seahawks,333,3808,11.4,15,47,8,79T,183,55.0,5,77,2007
49ers  49ers,345,3826,11.1,24,51,7,65,187,54.2,5,66,2007
Chargers  Chargers,338,3684,10.9,20,37,5,57T,185,54.7,1,89,2007
Steelers  Steelers,292,3067,10.5,22,32,4,63T,158,54.1,7,77,2007
Cardinals  Cardinals,361,3958,11.0,26,47,6,74T,185,51.2,5,66,2007
Eagles  Eagles,312,3693,11.8,16,45,12,91T,177,56.7,2,64,2007
Jets  Jets,289,3362,11.6,18,34,8,85T,174,60.2,2,67,2007
Giants  Giants,306,3666,12.0,24,47,11,65T,185,60.5,5,75,2007
Saints  Saints,327,4122,12.6,32,54,15,80T,196,59.9,6,73,2007
Patriots  Patriots,314,3381,10.8,23,32,5,73T,172,54.8,3,72,2007
Vikings  Vikings,415,4500,10.8,22,47,6,81T,222,53.5,9,73,2007
Dolphins  Dolphins,242,3186,13.2,28,39,9,70T,165,68.2,4,56,2007
Raiders  Raiders,261,3318,12.7,17,46,9,80T,156,59.8,2,69,2007
Rams  Rams,318,3847,12.1,25,47,5,83,190,59.7,6,71,2007
Chiefs  Chiefs,276,3274,11.9,17,40,9,77T,156,56.5,5,69,2007
Jaguars  Jaguars,319,3660,11.5,20,49,6,58T,181,56.7,3,63,2007
Colts  Colts,325,2926,9.0,16,20,4,55,162,49.8,5,62,2007
Texans  Texans,361,3878,10.7,25,46,7,74T,197,54.6,7,75,2007
Titans  Titans,349,3428,9.8,21,36,8,69T,165,47.3,5,86,2007
Packers  Packers,295,3584,12.1,23,46,6,50,176,59.7,2,71,2007
Lions  Lions,422,4387,10.4,32,39,7,68T,221,52.4,7,59,2007
Broncos  Broncos,279,3297,11.8,25,41,7,82T,168,60.2,4,66,2007
Cowboys  Cowboys,342,3728,10.9,19,35,7,69T,195,57.0,3,84,2007
Browns  Browns,340,3867,11.4,29,50,3,42,211,62.1,3,86,2007
Bengals  Bengals,353,3815,10.8,29,38,7,73,200,56.7,2,78,2007
Bears  Bears,343,3953,11.5,19,43,9,71,185,53.9,5,62,2007
Panthers  Panthers,337,3603,10.7,22,36,8,69T,174,51.6,7,67,2007
Bills  Bills,354,3958,11.2,19,55,7,59T,203,57.3,4,80,2007
Ravens  Ravens,293,3740,12.8,27,53,15,78T,162,55.3,2,89,2007
Falcons  Falcons,336,3801,11.3,27,48,5,60T,190,56.5,3,69,2007
Redskins  Redskins,290,3236,11.2,16,37,8,79,159,54.8,4,89,2008
Buccaneers  Buccaneers,276,3187,11.5,23,39,6,84T,153,55.4,3,73,2008
Seahawks  Seahawks,366,4342,11.9,25,59,11,63,207,56.6,4,66,2008
49ers  49ers,331,3668,11.1,22,33,12,81,170,51.4,3,73,2008
Chargers  Chargers,411,4090,10.0,25,37,4,71T,213,51.8,6,75,2008
Steelers  Steelers,301,2861,9.5,12,23,2,65T,149,49.5,1,87,2008
Cardinals  Cardinals,323,3731,11.6,36,40,10,87T,172,53.3,5,75,2008
Eagles  Eagles,284,3225,11.4,19,47,8,90T,144,50.7,5,92,2008
Jets  Jets,368,4005,10.9,23,41,5,60,209,56.8,10,77,2008
Giants  Giants,296,3427,11.6,17,40,8,70,165,55.7,4,75,2008
Saints  Saints,299,3708,12.4,21,53,5,67T,180,60.2,2,91,2008
Patriots  Patriots,288,3461,12.0,27,38,12,78T,176,61.1,4,57,2008
Vikings  Vikings,324,3753,11.6,15,49,8,75,163,50.3,7,66,2008
Dolphins  Dolphins,320,3862,12.1,18,49,9,79T,173,54.1,5,81,2008
Raiders  Raiders,266,3408,12.8,20,43,9,72,166,62.4,4,70,2008
Rams  Rams,278,3676,13.2,20,51,11,90T,158,56.8,8,53,2008
Chiefs  Chiefs,348,3810,10.9,21,43,7,70T,195,56.0,7,57,2008
Jaguars  Jaguars,297,3777,12.7,25,55,17,56T,166,55.9,1,56,2008
Colts  Colts,329,3209,9.8,6,33,3,61,165,50.2,5,48,2008
Texans  Texans,294,3598,12.2,24,49,11,96T,167,56.8,6,59,2008
Titans  Titans,342,3458,10.1,12,39,6,65,166,48.5,6,86,2008
Packers  Packers,287,3384,11.8,22,41,11,70T,141,49.1,5,88,2008
Lions  Lions,303,3907,12.9,25,48,12,86T,188,62.0,3,44,2008
Broncos  Broncos,333,3797,11.4,20,41,6,74,186,55.9,3,51,2008
Cowboys  Cowboys,308,3377,11.0,19,37,7,60,163,52.9,5,60,2008
Browns  Browns,286,3363,11.8,19,46,3,93T,176,61.5,2,67,2008
Bengals  Bengals,315,3409,10.8,23,33,7,70T,169,53.7,5,81,2008
Bears  Bears,383,4076,10.6,21,40,3,99T,208,54.3,5,99,2008
Panthers  Panthers,333,3617,10.9,19,43,8,69,178,53.5,6,83,2008
Bills  Bills,301,3441,11.4,14,39,7,84T,167,55.5,6,73,2008
Ravens  Ravens,276,3132,11.3,17,41,6,67T,152,55.1,5,99,2008
Falcons  Falcons,325,3771,11.6,20,48,5,56T,189,58.2,1,75,2008
Redskins  Redskins,314,3557,11.3,19,41,10,75T,176,56.1,1,74,2009
Buccaneers  Buccaneers,301,3484,11.6,28,36,11,80T,171,56.8,1,63,2009
Seahawks  Seahawks,374,4112,11.0,27,47,4,64T,204,54.5,0,64,2009
49ers  49ers,352,3963,11.3,14,47,9,90T,176,50.0,8,69,2009
Chargers  Chargers,326,3569,10.9,23,34,7,84,177,54.3,2,66,2009
Steelers  Steelers,319,3761,11.8,22,46,9,83T,186,58.3,3,67,2009
Cardinals  Cardinals,346,3998,11.6,22,50,10,72,188,54.3,3,87,2009
Eagles  Eagles,354,3778,10.7,27,46,6,86T,179,50.6,2,92,2009
Jets  Jets,259,2704,10.4,8,31,3,59,128,49.4,2,86,2009
Giants  Giants,314,3662,11.7,31,51,10,60T,182,58.0,3,79,2009
Saints  Saints,330,3961,12.0,15,48,11,71T,175,53.0,5,83,2009
Patriots  Patriots,300,3584,11.9,25,42,5,75T,193,64.3,7,68,2009
Vikings  Vikings,341,3812,11.2,26,52,9,63,183,53.7,8,62,2009
Dolphins  Dolphins,281,3996,14.2,23,57,17,81T,184,65.5,1,75,2009
Raiders  Raiders,259,3531,13.6,16,56,16,63,158,61.0,3,69,2009
Rams  Rams,315,3913,12.4,22,56,13,73T,182,57.8,7,51,2009
Chiefs  Chiefs,302,3844,12.7,25,44,16,64T,178,58.9,5,81,2009
Jaguars  Jaguars,345,3853,11.2,28,48,7,98T,191,55.4,3,56,2009
Colts  Colts,372,3631,9.8,19,27,6,63T,203,54.6,5,68,2009
Texans  Texans,344,3674,10.7,19,39,7,69T,175,50.9,6,75,2009
Titans  Titans,404,4363,10.8,31,61,9,72T,210,52.0,3,63,2009
Packers  Packers,294,3450,11.7,29,49,9,68,168,57.1,4,96,2009
Lions  Lions,371,4399,11.9,35,54,17,68,213,57.4,3,71,2009
Broncos  Broncos,298,3222,10.8,18,40,4,53,167,56.0,4,80,2009
Cowboys  Cowboys,344,3874,11.3,19,45,5,74T,186,54.1,4,88,2009
Browns  Browns,313,4149,13.3,22,62,13,75T,189,60.4,1,73,2009
Bengals  Bengals,318,3486,11.0,18,41,6,87T,165,51.9,4,93,2009
Bears  Bears,341,3654,10.7,29,41,4,50T,186,54.5,9,53,2009
Panthers  Panthers,305,3249,10.7,14,37,6,63,155,50.8,6,66,2009
Bills  Bills,295,3137,10.6,14,34,5,52,157,53.2,2,81,2009
Ravens  Ravens,306,3506,11.5,17,48,8,81T,164,53.6,6,78,2009
Falcons  Falcons,335,4041,12.1,25,55,11,65T,197,58.8,4,63,2009
Redskins  Redskins,367,4363,11.9,23,57,10,92T,207,56.4,6,89,2010
