Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Redskins  Redskins,391,1460,3.7,10,2,0,27,89,22.8,6,2007
Buccaneers  Buccaneers,454,1726,3.8,11,7,0,32T,93,20.5,11,2007
Seahawks  Seahawks,422,1644,3.9,16,12,3,53T,78,18.5,9,2007
49ers  49ers,504,1896,3.8,9,10,1,84T,94,18.7,2,2007
Chargers  Chargers,416,1712,4.1,11,9,2,64T,89,21.4,8,2007
Steelers  Steelers,361,1438,4.0,6,9,0,38,74,20.5,11,2007
Cardinals  Cardinals,407,1567,3.9,13,8,1,75,90,22.1,9,2007
Eagles  Eagles,403,1533,3.8,10,7,2,56,80,19.9,4,2007
Jets  Jets,517,2156,4.2,14,8,0,32,128,24.8,3,2007
Giants  Giants,408,1563,3.8,12,9,1,67T,83,20.3,7,2007
Saints  Saints,408,1646,4.0,7,14,2,43,80,19.6,12,2007
Patriots  Patriots,360,1572,4.4,7,7,1,49,91,25.3,3,2007
Vikings  Vikings,379,1185,3.1,7,5,0,30T,67,17.7,15,2007
Dolphins  Dolphins,544,2456,4.5,18,11,4,59T,129,23.7,3,2007
Raiders  Raiders,486,2334,4.8,24,18,5,62T,121,24.9,10,2007
Rams  Rams,445,1844,4.1,16,14,3,46,105,23.6,6,2007
Chiefs  Chiefs,481,2089,4.3,11,14,3,53,104,21.6,6,2007
Jaguars  Jaguars,390,1605,4.1,12,8,2,42,92,23.6,4,2007
Colts  Colts,454,1711,3.8,10,4,0,32,111,24.4,10,2007
Texans  Texans,417,1825,4.4,15,11,2,76,107,25.7,6,2007
Titans  Titans,369,1478,4.0,11,7,2,62T,80,21.7,8,2007
Packers  Packers,424,1647,3.9,6,7,2,55,77,18.2,5,2007
Lions  Lions,448,1911,4.3,19,13,2,49,116,25.9,13,2007
Broncos  Broncos,501,2282,4.6,14,18,2,74T,119,23.8,13,2007
Cowboys  Cowboys,381,1513,4.0,12,9,2,62T,86,22.6,5,2007
Browns  Browns,460,2072,4.5,8,14,0,37,100,21.7,7,2007
Bengals  Bengals,449,1893,4.2,11,14,5,66T,98,21.8,13,2007
Bears  Bears,454,1967,4.3,17,15,5,73T,100,22.0,15,2007
Panthers  Panthers,472,1771,3.8,13,9,1,80T,100,21.2,14,2007
Bills  Bills,454,1993,4.4,15,10,4,88T,104,22.9,11,2007
Ravens  Ravens,446,1268,2.8,9,5,0,36,69,15.5,2,2007
Falcons  Falcons,481,2033,4.2,12,13,2,50T,105,21.8,4,2007
Redskins  Redskins,398,1526,3.8,12,5,1,44,86,21.6,8,2008
Buccaneers  Buccaneers,441,1901,4.3,8,15,4,67T,87,19.7,7,2008
Seahawks  Seahawks,457,1899,4.2,13,12,2,51T,98,21.4,8,2008
49ers  49ers,452,1709,3.8,14,8,1,50,104,23.0,8,2008
Chargers  Chargers,408,1641,4.0,11,5,1,49,98,24.0,3,2008
Steelers  Steelers,390,1284,3.3,7,4,1,41,73,18.7,3,2008
Cardinals  Cardinals,445,1764,4.0,13,8,1,41T,117,26.3,10,2008
Eagles  Eagles,421,1476,3.5,7,9,0,28,79,18.8,8,2008
Jets  Jets,407,1518,3.7,10,7,0,35,86,21.1,8,2008
Giants  Giants,386,1533,4.0,14,14,1,67T,78,20.2,5,2008
Saints  Saints,445,1885,4.2,14,10,2,46,100,22.5,7,2008
Patriots  Patriots,415,1722,4.1,8,9,1,62T,78,18.8,3,2008
Vikings  Vikings,371,1230,3.3,10,5,2,57,72,19.4,11,2008
Dolphins  Dolphins,388,1620,4.2,11,6,0,33,96,24.7,9,2008
Raiders  Raiders,542,2555,4.7,23,15,4,69T,129,23.8,8,2008
Rams  Rams,501,2475,4.9,26,20,3,70,146,29.1,8,2008
Chiefs  Chiefs,509,2543,5.0,25,21,6,80T,133,26.1,16,2008
Jaguars  Jaguars,428,1709,4.0,14,12,1,40T,98,22.9,3,2008
Colts  Colts,472,1966,4.2,18,11,3,71T,119,25.2,7,2008
Texans  Texans,439,1962,4.5,18,9,2,41T,114,26.0,7,2008
Titans  Titans,403,1502,3.7,12,10,2,61T,81,20.1,9,2008
Packers  Packers,458,2105,4.6,20,15,4,60T,121,26.4,9,2008
Lions  Lions,536,2754,5.1,31,26,5,73T,147,27.4,11,2008
Broncos  Broncos,469,2337,5.0,26,20,6,65,122,26.0,7,2008
Cowboys  Cowboys,402,1706,4.2,11,10,3,82T,85,21.1,12,2008
