Team,FR TD,SFTY,INT TD,Year
Redskins  Redskins,0,2,2,2007
Buccaneers  Buccaneers,1,0,1,2007
Seahawks  Seahawks,1,1,1,2007
49ers  49ers,1,1,0,2007
Chargers  Chargers,3,0,2,2007
Steelers  Steelers,0,0,2,2007
Cardinals  Cardinals,0,0,6,2007
Eagles  Eagles,0,0,0,2007
Jets  Jets,1,0,0,2007
Giants  Giants,2,0,3,2007
Saints  Saints,2,1,3,2007
Patriots  Patriots,3,0,3,2007
Vikings  Vikings,2,1,6,2007
Dolphins  Dolphins,1,0,1,2007
Raiders  Raiders,0,1,2,2007
Rams  Rams,0,1,2,2007
Chiefs  Chiefs,1,1,0,2007
Jaguars  Jaguars,1,0,2,2007
Colts  Colts,1,2,1,2007
Texans  Texans,3,0,0,2007
Titans  Titans,0,0,2,2007
Packers  Packers,3,0,1,2007
Lions  Lions,1,1,3,2007
Broncos  Broncos,2,1,0,2007
Cowboys  Cowboys,1,0,2,2007
Browns  Browns,0,1,1,2007
Bengals  Bengals,2,1,1,2007
Bears  Bears,0,1,1,2007
Panthers  Panthers,1,0,1,2007
Bills  Bills,1,2,2,2007
Ravens  Ravens,0,0,1,2007
Falcons  Falcons,1,0,0,2007
Redskins  Redskins,0,0,0,2008
Buccaneers  Buccaneers,1,0,3,2008
Seahawks  Seahawks,1,0,2,2008
49ers  49ers,0,0,1,2008
Chargers  Chargers,1,1,2,2008
Steelers  Steelers,1,1,2,2008
Cardinals  Cardinals,1,0,2,2008
Eagles  Eagles,3,1,2,2008
Jets  Jets,2,0,3,2008
Giants  Giants,0,3,2,2008
Saints  Saints,0,1,0,2008
Patriots  Patriots,0,0,0,2008
Vikings  Vikings,2,3,0,2008
Dolphins  Dolphins,0,1,2,2008
Raiders  Raiders,0,2,0,2008
Rams  Rams,1,0,0,2008
Chiefs  Chiefs,1,0,2,2008
Jaguars  Jaguars,1,1,2,2008
Colts  Colts,2,0,2,2008
Texans  Texans,0,0,1,2008
Titans  Titans,0,0,3,2008
Packers  Packers,1,0,6,2008
Lions  Lions,1,1,0,2008
Broncos  Broncos,2,0,0,2008
Cowboys  Cowboys,0,1,1,2008
Browns  Browns,0,0,2,2008
Bengals  Bengals,2,0,1,2008
Bears  Bears,2,1,1,2008
Panthers  Panthers,2,0,0,2008
Bills  Bills,0,0,3,2008
Ravens  Ravens,1,3,5,2008
Falcons  Falcons,0,1,2,2008
Redskins  Redskins,0,0,0,2009
Buccaneers  Buccaneers,0,0,2,2009
Seahawks  Seahawks,1,0,2,2009
49ers  49ers,2,0,1,2009
Chargers  Chargers,2,1,1,2009
Steelers  Steelers,1,0,2,2009
Cardinals  Cardinals,0,0,1,2009
Eagles  Eagles,2,2,2,2009
Jets  Jets,1,0,1,2009
Giants  Giants,1,0,2,2009
Saints  Saints,3,0,5,2009
Patriots  Patriots,0,0,3,2009
Vikings  Vikings,1,1,0,2009
Dolphins  Dolphins,1,0,1,2009
Raiders  Raiders,0,0,0,2009
Rams  Rams,0,0,1,2009
Chiefs  Chiefs,1,1,2,2009
Jaguars  Jaguars,0,0,0,2009
Colts  Colts,0,0,2,2009
Texans  Texans,1,2,1,2009
Titans  Titans,0,0,4,2009
Packers  Packers,1,1,3,2009
Lions  Lions,1,2,2,2009
Broncos  Broncos,2,0,0,2009
Cowboys  Cowboys,0,0,1,2009
Browns  Browns,0,1,0,2009
Bengals  Bengals,1,0,2,2009
Bears  Bears,0,1,1,2009
Panthers  Panthers,0,2,1,2009
Bills  Bills,0,0,2,2009
Ravens  Ravens,1,0,2,2009
Falcons  Falcons,2,0,1,2009
Redskins  Redskins,1,0,1,2010
Buccaneers  Buccaneers,0,0,3,2010
Seahawks  Seahawks,0,1,2,2010
49ers  49ers,0,0,3,2010
Chargers  Chargers,0,1,3,2010
Steelers  Steelers,0,0,3,2010
Cardinals  Cardinals,4,0,3,2010
Eagles  Eagles,1,0,1,2010
Jets  Jets,0,2,3,2010
Giants  Giants,0,0,0,2010
Saints  Saints,0,1,2,2010
Patriots  Patriots,1,0,4,2010
Vikings  Vikings,1,0,1,2010
Dolphins  Dolphins,1,1,0,2010
Raiders  Raiders,1,2,2,2010
Rams  Rams,0,1,0,2010
Chiefs  Chiefs,0,0,3,2010
Jaguars  Jaguars,0,0,0,2010
Colts  Colts,1,0,2,2010
Texans  Texans,0,0,0,2010
Titans  Titans,0,2,1,2010
Packers  Packers,1,0,3,2010
Lions  Lions,1,1,2,2010
Broncos  Broncos,1,0,0,2010
Cowboys  Cowboys,1,0,3,2010
Browns  Browns,1,0,2,2010
Bengals  Bengals,1,0,1,2010
Bears  Bears,0,0,1,2010
Panthers  Panthers,0,1,1,2010
Bills  Bills,1,0,2,2010
Ravens  Ravens,0,0,3,2010
Falcons  Falcons,1,0,2,2010
Redskins  Redskins,0,0,1,2011
Buccaneers  Buccaneers,1,1,3,2011
Seahawks  Seahawks,0,1,4,2011
49ers  49ers,0,1,1,2011
Chargers  Chargers,1,0,1,2011
Steelers  Steelers,1,2,0,2011
Cardinals  Cardinals,0,0,0,2011
Eagles  Eagles,3,1,1,2011
Jets  Jets,0,3,2,2011
Giants  Giants,1,2,0,2011
Saints  Saints,2,0,1,2011
Patriots  Patriots,1,0,2,2011
Vikings  Vikings,0,1,0,2011
Dolphins  Dolphins,0,0,1,2011
Raiders  Raiders,1,1,0,2011
Rams  Rams,0,2,1,2011
Chiefs  Chiefs,0,0,2,2011
Jaguars  Jaguars,3,0,0,2011
Colts  Colts,1,0,2,2011
Texans  Texans,0,0,1,2011
Titans  Titans,0,0,1,2011
Packers  Packers,1,0,4,2011
Lions  Lions,2,1,5,2011
Broncos  Broncos,0,0,3,2011
Cowboys  Cowboys,0,0,1,2011
Browns  Browns,0,0,0,2011
Bengals  Bengals,2,1,1,2011
Bears  Bears,2,1,4,2011
Panthers  Panthers,0,2,0,2011
Bills  Bills,2,1,4,2011
Ravens  Ravens,3,0,1,2011
Falcons  Falcons,1,0,2,2011
Redskins  Redskins,1,0,3,2012
Buccaneers  Buccaneers,0,0,3,2012
Seahawks  Seahawks,1,0,2,2012
49ers  49ers,1,1,2,2012
Chargers  Chargers,2,1,5,2012
Steelers  Steelers,0,0,1,2012
Cardinals  Cardinals,1,0,2,2012
Eagles  Eagles,0,0,0,2012
