Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Redskins  Redskins,226,92,15,6,192,60.2,103,20.7,1052,2007
Buccaneers  Buccaneers,213,82,13,5,162,51.3,98,21.8,975,2007
Seahawks  Seahawks,215,75,14,6,211,56.9,93,21.6,1056,2007
49ers  49ers,220,69,17,5,140,51.1,65,18.2,925,2007
Chargers  Chargers,214,84,10,6,158,56.2,104,21.4,980,2007
Steelers  Steelers,220,103,13,7,179,63.5,108,21.1,1000,2007
Cardinals  Cardinals,203,75,14,12,210,59.0,70,17.4,1016,2007
Eagles  Eagles,229,97,15,9,186,53.1,118,28.0,1047,2007
Jets  Jets,226,85,21,10,173,55.8,92,20.6,1011,2007
Giants  Giants,219,91,17,6,167,55.3,119,25.4,1041,2007
Saints  Saints,214,99,25,11,232,52.7,94,24.0,1060,2007
Patriots  Patriots,191,92,21,15,243,60.3,124,27.5,1058,2007
Vikings  Vikings,200,69,13,7,139,55.8,131,26.5,964,2007
Dolphins  Dolphins,218,81,22,13,162,50.9,107,27.5,989,2007
Raiders  Raiders,229,82,24,10,133,51.2,111,21.9,1000,2007
Rams  Rams,223,81,20,7,193,58.0,65,16.1,1026,2007
Chiefs  Chiefs,232,79,18,13,171,51.0,66,17.2,1001,2007
Jaguars  Jaguars,219,100,33,19,180,62.5,127,24.3,1022,2007
Colts  Colts,203,100,10,6,212,59.7,119,26.7,1020,2007
Texans  Texans,193,86,15,11,190,54.9,96,23.0,968,2007
Titans  Titans,217,89,11,2,171,59.4,118,21.7,1037,2007
Packers  Packers,202,86,11,5,210,54.8,69,17.8,985,2007
Lions  Lions,190,62,10,4,203,55.2,73,22.5,965,2007
Broncos  Broncos,198,80,22,7,187,57.4,96,22.4,976,2007
Cowboys  Cowboys,199,84,14,10,217,63.5,83,19.8,975,2007
Browns  Browns,204,86,15,6,192,63.0,110,25.0,1004,2007
Bengals  Bengals,208,96,12,4,213,57.1,81,19.5,1008,2007
Bears  Bears,238,81,16,7,168,51.4,74,17.5,1035,2007
Panthers  Panthers,235,85,14,6,142,49.8,85,18.8,989,2007
Bills  Bills,195,65,18,8,141,53.6,91,20.3,919,2007
Ravens  Ravens,234,90,21,11,175,51.3,96,21.5,1042,2007
Falcons  Falcons,237,86,19,7,161,47.9,73,19.0,987,2007
Redskins  Redskins,216,76,16,10,165,51.9,109,22.8,1026,2008
Buccaneers  Buccaneers,229,88,18,10,184,51.8,100,22.2,1045,2008
