Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,Year
Redskins  Redskins,319,3622,11.4,18,43,6,54,192,60.2,4,2007
Buccaneers  Buccaneers,316,3579,11.3,18,41,11,69T,162,51.3,6,2007
Seahawks  Seahawks,371,4181,11.3,30,51,8,65,211,56.9,2,2007
49ers  49ers,274,2685,9.8,15,30,4,57T,140,51.1,6,2007
Chargers  Chargers,281,3175,11.3,22,44,4,49T,158,56.2,2,2007
Steelers  Steelers,282,3418,12.1,34,43,7,83,179,63.5,1,2007
Cardinals  Cardinals,356,4228,11.9,32,52,7,62,210,59.0,7,2007
Eagles  Eagles,350,4005,11.4,24,43,11,75T,186,53.1,3,2007
Jets  Jets,310,3330,10.7,15,38,7,57T,173,55.8,2,2007
Giants  Giants,302,3376,11.2,23,36,6,60T,167,55.3,2,2007
Saints  Saints,440,4423,10.1,28,47,8,58,232,52.7,4,2007
Patriots  Patriots,403,4859,12.1,50,57,15,69T,243,60.3,4,2007
Vikings  Vikings,249,2938,11.8,12,25,8,79,139,55.8,5,2007
Dolphins  Dolphins,318,3319,10.4,12,41,3,64T,162,50.9,2,2007
Raiders  Raiders,260,2893,11.1,17,31,6,59,133,51.2,2,2007
Rams  Rams,333,3561,10.7,19,42,1,40,193,58.0,5,2007
Chiefs  Chiefs,335,3525,10.5,17,40,2,58,171,51.0,6,2007
Jaguars  Jaguars,288,3495,12.1,28,44,8,80T,180,62.5,4,2007
Colts  Colts,355,4172,11.8,32,53,9,73T,212,59.7,5,2007
Texans  Texans,346,3925,11.3,24,40,10,77T,190,54.9,10,2007
Titans  Titans,288,3077,10.7,9,28,7,73,171,59.4,5,2007
Packers  Packers,383,4461,11.6,30,52,17,82T,210,54.8,9,2007
Lions  Lions,368,4216,11.5,19,47,8,91T,203,55.2,6,2007
Broncos  Broncos,326,3759,11.5,21,42,7,68T,187,57.4,6,2007
Cowboys  Cowboys,342,4290,12.5,36,56,11,59T,217,63.5,4,2007
Browns  Browns,305,3866,12.7,29,53,6,78T,192,63.0,6,2007
Bengals  Bengals,373,4131,11.1,26,51,8,70T,213,57.1,5,2007
Bears  Bears,327,3701,11.3,18,44,8,81T,168,51.4,4,2007
Panthers  Panthers,285,2941,10.3,19,28,9,74T,142,49.8,7,2007
Bills  Bills,263,2842,10.8,12,33,6,85T,141,53.6,4,2007
Ravens  Ravens,341,3308,9.7,13,23,5,79T,175,51.3,3,2007
Falcons  Falcons,336,3573,10.6,18,42,6,74T,161,47.9,4,2007
Redskins  Redskins,318,3291,10.3,14,34,3,67T,165,51.9,5,2008
Buccaneers  Buccaneers,355,3788,10.7,18,42,5,71T,184,51.8,5,2008
Seahawks  Seahawks,262,2831,10.8,18,29,5,90T,142,54.2,4,2008
49ers  49ers,309,3724,12.1,21,55,6,63,176,57.0,5,2008
Chargers  Chargers,312,4009,12.8,34,48,12,67,191,61.2,4,2008
Steelers  Steelers,303,3607,11.9,19,39,8,65T,179,59.1,7,2008
Cardinals  Cardinals,418,4875,11.7,31,54,13,79T,231,55.3,6,2008
Eagles  Eagles,362,4060,11.2,23,52,11,90T,204,56.4,4,2008
Jets  Jets,347,3516,10.1,22,40,7,56T,186,53.6,5,2008
Giants  Giants,298,3353,11.3,23,34,4,48,176,59.1,2,2008
Saints  Saints,413,5069,12.3,34,66,16,84T,232,56.2,6,2008
Patriots  Patriots,339,3790,11.2,21,38,6,76T,186,54.9,5,2008
Vikings  Vikings,267,3217,12.0,22,40,12,99T,150,56.2,5,2008
Dolphins  Dolphins,330,3761,11.4,20,39,8,80T,184,55.8,6,2008
Raiders  Raiders,222,2639,11.9,13,39,5,84T,123,55.4,0,2008
Rams  Rams,292,3268,11.2,11,41,8,80T,140,47.9,5,2008
Chiefs  Chiefs,310,3358,10.8,23,35,5,75,161,51.9,1,2008
Jaguars  Jaguars,335,3620,10.8,15,42,1,41,183,54.6,6,2008
Colts  Colts,393,4180,10.6,27,42,7,75,220,56.0,4,2008
Texans  Texans,367,4474,12.2,21,60,12,65,210,57.2,5,2008
Titans  Titans,265,2902,11.0,13,36,5,56T,143,54.0,4,2008
Packers  Packers,343,4044,11.8,28,48,16,71T,182,53.1,2,2008
Lions  Lions,281,3299,11.7,18,43,7,96T,143,50.9,8,2008
Broncos  Broncos,386,4545,11.8,25,55,7,93T,223,57.8,5,2008
Cowboys  Cowboys,328,3988,12.2,29,54,12,75T,171,52.1,7,2008
Browns  Browns,238,2537,10.7,11,26,6,70,127,53.4,4,2008
Bengals  Bengals,303,2677,8.8,11,21,2,79,145,47.9,2,2008
Bears  Bears,304,3229,10.6,20,35,3,65T,153,50.3,5,2008
Panthers  Panthers,246,3288,13.4,15,45,9,65T,152,61.8,4,2008
Bills  Bills,309,3302,10.7,14,38,6,87T,167,54.0,7,2008
Ravens  Ravens,261,3085,11.8,16,40,11,70T,147,56.3,5,2008
Falcons  Falcons,265,3440,13.0,16,45,9,70T,157,59.2,3,2008
Redskins  Redskins,340,3797,11.2,21,43,10,84,191,56.2,5,2009
Buccaneers  Buccaneers,279,3134,11.2,18,40,4,47,148,53.0,1,2009
Seahawks  Seahawks,372,3771,10.1,20,39,6,53,184,49.5,6,2009
49ers  49ers,312,3293,10.6,23,42,7,73T,137,43.9,2,2009
Chargers  Chargers,338,4506,13.3,29,67,13,81T,222,65.7,3,2009
Steelers  Steelers,351,4496,12.8,28,64,14,60T,210,59.8,6,2009
Cardinals  Cardinals,392,4200,10.7,27,49,3,45,215,54.8,5,2009
Eagles  Eagles,335,4380,13.1,27,65,21,71T,182,54.3,3,2009
Jets  Jets,210,2596,12.4,12,37,8,65T,131,62.4,3,2009
Giants  Giants,338,4246,12.6,28,62,12,74T,194,57.4,4,2009
