Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Redskins  Redskins,498,1871,3.8,15,6,0,32,103,20.7,15,2007
Buccaneers  Buccaneers,449,1872,4.2,15,14,0,31,98,21.8,6,2007
Seahawks  Seahawks,430,1619,3.8,9,10,2,46,93,21.6,7,2007
49ers  49ers,357,1477,4.1,8,9,1,43T,65,18.2,11,2007
Chargers  Chargers,485,2039,4.2,19,16,4,74T,104,21.4,7,2007
Steelers  Steelers,511,2168,4.2,9,16,1,45,108,21.1,7,2007
Cardinals  Cardinals,402,1440,3.6,9,5,0,27,70,17.4,14,2007
Eagles  Eagles,421,1974,4.7,12,17,1,40,118,28.0,3,2007
Jets  Jets,446,1701,3.8,6,4,1,49,92,20.6,7,2007
Giants  Giants,469,2148,4.6,15,11,4,88T,119,25.4,11,2007
Saints  Saints,392,1466,3.7,14,5,0,26,94,24.0,10,2007
Patriots  Patriots,451,1849,4.1,17,4,3,59T,124,27.5,2,2007
Vikings  Vikings,494,2634,5.3,22,21,6,84T,131,26.5,13,2007
Dolphins  Dolphins,389,1569,4.0,14,9,1,60,107,27.5,8,2007
Raiders  Raiders,508,2086,4.1,11,13,1,48,111,21.9,13,2007
Rams  Rams,404,1527,3.8,5,10,5,54,65,16.1,8,2007
Chiefs  Chiefs,383,1248,3.3,6,5,1,54,66,17.2,2,2007
Jaguars  Jaguars,522,2391,4.6,18,16,6,80T,127,24.3,4,2007
Colts  Colts,446,1706,3.8,19,4,0,23,119,26.7,1,2007
Texans  Texans,417,1586,3.8,12,7,1,41,96,23.0,4,2007
Titans  Titans,543,2109,3.9,17,11,1,42,118,21.7,12,2007
Packers  Packers,388,1597,4.1,13,15,4,66T,69,17.8,7,2007
Lions  Lions,324,1288,4.0,13,8,1,53,73,22.5,13,2007
Broncos  Broncos,429,1957,4.6,10,18,3,62T,96,22.4,13,2007
Cowboys  Cowboys,419,1746,4.2,14,12,2,54,83,19.8,4,2007
Browns  Browns,440,1895,4.3,13,9,2,66T,110,25.0,7,2007
Bengals  Bengals,416,1556,3.7,10,5,1,45,81,19.5,6,2007
Bears  Bears,423,1330,3.1,8,6,1,43T,74,17.5,13,2007
Panthers  Panthers,451,1824,4.0,7,7,1,75,85,18.8,7,2007
Bills  Bills,448,1800,4.0,8,10,2,56T,91,20.3,5,2007
Ravens  Ravens,446,1797,4.0,11,7,1,46T,96,21.5,10,2007
Falcons  Falcons,385,1520,3.9,7,11,2,67T,73,19.0,5,2007
Redskins  Redskins,478,2095,4.4,12,17,0,31,109,22.8,5,2008
Buccaneers  Buccaneers,451,1837,4.1,13,8,4,68T,100,22.2,6,2008
Seahawks  Seahawks,417,1768,4.2,10,13,2,45,104,24.9,7,2008
49ers  49ers,397,1599,4.0,10,9,1,41T,83,20.9,15,2008
Chargers  Chargers,421,1726,4.1,13,11,3,45,92,21.9,3,2008
Steelers  Steelers,460,1690,3.7,16,8,0,34T,93,20.2,4,2008
Cardinals  Cardinals,340,1178,3.5,14,5,0,35,72,21.2,5,2008
Eagles  Eagles,427,1697,4.0,15,11,0,39T,94,22.0,4,2008
Jets  Jets,422,2004,4.7,20,11,4,61T,94,22.3,9,2008
Giants  Giants,502,2518,5.0,19,24,3,77,130,25.9,7,2008
Saints  Saints,398,1594,4.0,20,9,2,43,103,25.9,8,2008
Patriots  Patriots,513,2278,4.4,21,11,2,49T,145,28.3,4,2008
Vikings  Vikings,519,2338,4.5,15,23,4,67T,119,22.9,13,2008
Dolphins  Dolphins,448,1897,4.2,18,11,4,62T,111,24.8,6,2008
Raiders  Raiders,459,1987,4.3,9,12,3,67T,87,19.0,11,2008
Rams  Rams,417,1649,4.0,8,9,1,56T,95,22.8,8,2008
Chiefs  Chiefs,379,1810,4.8,9,15,3,65,94,24.8,11,2008
Jaguars  Jaguars,426,1774,4.2,17,11,2,46T,107,25.1,5,2008
Colts  Colts,370,1274,3.4,13,5,0,38,80,21.6,4,2008
Texans  Texans,432,1846,4.3,16,13,5,71T,106,24.5,9,2008
Titans  Titans,508,2199,4.3,24,15,5,80T,108,21.3,6,2008
Packers  Packers,437,1805,4.1,11,10,2,73T,99,22.7,11,2008
Lions  Lions,352,1332,3.8,10,9,1,50,70,19.9,8,2008
Broncos  Broncos,387,1862,4.8,15,8,2,71,103,26.6,8,2008
Cowboys  Cowboys,401,1723,4.3,12,12,1,60T,102,25.4,9,2008
Browns  Browns,409,1605,3.9,6,7,1,72T,84,20.5,8,2008
Bengals  Bengals,420,1520,3.6,6,7,1,46,80,19.0,10,2008
Bears  Bears,434,1673,3.9,15,10,2,50T,98,22.6,4,2008
Panthers  Panthers,504,2437,4.8,30,24,6,69T,118,23.4,4,2008
Bills  Bills,439,1842,4.2,16,9,1,50,107,24.4,7,2008
Ravens  Ravens,592,2376,4.0,20,11,4,82T,132,22.3,11,2008
Falcons  Falcons,560,2443,4.4,23,16,5,70,131,23.4,8,2008
Redskins  Redskins,391,1510,3.9,8,6,1,78,72,18.4,6,2009
Buccaneers  Buccaneers,404,1627,4.0,5,12,0,35,80,19.8,12,2009
Seahawks  Seahawks,395,1566,4.0,7,11,1,62T,80,20.3,11,2009
49ers  49ers,371,1600,4.3,12,13,4,80T,77,20.8,5,2009
Chargers  Chargers,427,1423,3.3,17,7,0,36,80,18.7,2,2009
Steelers  Steelers,428,1793,4.2,10,13,1,60,96,22.4,8,2009
Cardinals  Cardinals,365,1494,4.1,16,7,1,50,77,21.1,12,2009
Eagles  Eagles,384,1637,4.3,14,7,3,67T,87,22.7,7,2009
Jets  Jets,607,2756,4.5,21,19,3,71T,132,21.7,9,2009
Giants  Giants,443,1837,4.1,14,8,0,38,103,23.3,12,2009
Saints  Saints,468,2106,4.5,21,14,2,55,115,24.6,6,2009
Patriots  Patriots,466,1921,4.1,19,7,2,55,114,24.5,7,2009
Vikings  Vikings,467,1918,4.1,19,15,3,64T,99,21.2,8,2009
Dolphins  Dolphins,509,2231,4.4,22,9,3,68T,129,25.3,11,2009
Raiders  Raiders,410,1701,4.1,7,11,2,60,81,19.8,8,2009
Rams  Rams,411,1784,4.3,4,11,3,58,79,19.2,7,2009
Chiefs  Chiefs,438,1929,4.4,8,11,5,76T,91,20.8,14,2009
Jaguars  Jaguars,447,2029,4.5,19,12,3,80T,114,25.5,7,2009
Colts  Colts,366,1294,3.5,16,6,1,45,69,18.9,4,2009
Texans  Texans,425,1475,3.5,13,4,0,32T,93,21.9,11,2009
Titans  Titans,499,2592,5.2,19,24,8,91T,115,23.0,14,2009
Packers  Packers,438,1885,4.3,20,11,2,62T,102,23.3,3,2009
