Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,Year
Redskins  Redskins,23.8,65,1544,0,45,2,80,0,0,1,1,2007
Buccaneers  Buccaneers,23.3,48,1119,1,32,2,90T,0,0,0,1,2007
Seahawks  Seahawks,22.1,53,1173,2,28,4,91T,2,2,0,0,2007
49ers  49ers,23.3,73,1702,0,47,4,55,0,2,1,0,2007
Chargers  Chargers,25.5,48,1224,1,34,5,89T,1,0,0,0,2007
Steelers  Steelers,22.0,52,1145,1,33,1,98T,1,1,0,0,2007
Cardinals  Cardinals,22.7,74,1682,0,45,4,59,0,0,0,0,2007
Eagles  Eagles,21.7,71,1539,0,46,0,35,0,2,0,0,2007
Jets  Jets,22.9,74,1695,3,46,5,98T,0,3,0,0,2007
Giants  Giants,23.9,66,1579,1,43,2,74T,0,2,1,0,2007
Saints  Saints,21.3,71,1513,0,47,2,64,0,0,1,0,2007
Patriots  Patriots,25.2,55,1384,2,35,4,108T,2,1,0,0,2007
Vikings  Vikings,24.8,59,1461,1,35,6,104T,0,1,0,0,2007
Dolphins  Dolphins,19.9,78,1552,0,40,2,52,2,1,1,0,2007
Raiders  Raiders,21.6,78,1686,0,50,2,43,0,0,2,0,2007
Rams  Rams,23.6,82,1938,0,57,3,84,0,2,1,0,2007
Chiefs  Chiefs,19.2,67,1286,0,34,0,39,0,1,1,0,2007
Jaguars  Jaguars,22.7,49,1110,1,25,4,100T,0,0,0,0,2007
Colts  Colts,21.8,53,1157,0,33,2,47,0,1,0,0,2007
Texans  Texans,26.5,74,1961,4,47,5,104T,0,0,1,1,2007
Titans  Titans,21.1,52,1098,0,25,3,48,0,1,0,2,2007
Packers  Packers,21.8,62,1349,0,35,5,67,0,0,0,0,2007
Lions  Lions,22.6,72,1628,1,41,3,74,0,1,2,0,2007
Broncos  Broncos,22.3,58,1293,0,41,0,35,0,3,0,0,2007
Cowboys  Cowboys,22.3,61,1358,0,34,3,72,0,1,1,0,2007
Browns  Browns,27.0,72,1943,2,50,7,100T,0,1,0,0,2007
Bengals  Bengals,23.1,73,1684,1,45,3,100T,2,4,0,0,2007
Bears  Bears,18.4,67,1234,2,27,2,97T,0,2,4,1,2007
Panthers  Panthers,19.1,60,1146,0,25,2,60,1,1,2,0,2007
Bills  Bills,20.7,70,1448,1,33,4,103T,0,1,0,0,2007
Ravens  Ravens,23.5,65,1525,1,33,6,94T,1,4,0,1,2007
Falcons  Falcons,24.7,72,1781,0,52,5,76,0,0,0,0,2007
Redskins  Redskins,25.1,55,1382,0,39,4,87,1,0,0,0,2008
Buccaneers  Buccaneers,24.8,60,1486,1,40,4,97T,0,3,0,0,2008
Seahawks  Seahawks,25.3,77,1948,0,53,8,61,1,3,2,0,2008
49ers  49ers,23.3,76,1767,1,47,4,104T,0,2,2,0,2008
Chargers  Chargers,24.0,62,1485,1,43,6,103T,0,3,0,0,2008
Steelers  Steelers,20.3,50,1013,0,27,1,43,1,1,0,0,2008
Cardinals  Cardinals,21.7,75,1630,1,45,3,93T,1,1,1,0,2008
Eagles  Eagles,23.5,60,1411,1,34,5,100T,0,1,1,0,2008
Jets  Jets,23.1,61,1407,1,31,7,94,0,2,1,0,2008
Giants  Giants,23.3,55,1284,0,34,3,83,0,1,3,0,2008
Saints  Saints,24.1,62,1496,0,36,8,88,1,1,0,0,2008
Patriots  Patriots,25.2,62,1562,1,40,7,95T,0,3,0,1,2008
Vikings  Vikings,22.4,61,1369,0,35,3,49,0,2,3,0,2008
Dolphins  Dolphins,20.2,60,1213,0,31,2,60,0,1,0,0,2008
Raiders  Raiders,22.8,78,1777,2,40,7,92T,1,3,0,0,2008
Rams  Rams,22.0,80,1761,0,54,2,75,0,1,0,0,2008
