Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,Year
Redskins  Redskins,77,4495,6,7.8,66,19.5,3,1,3,1,2007
Buccaneers  Buccaneers,79,4714,6,7.6,68,19.5,4,2,1,1,2007
Seahawks  Seahawks,89,5613,13,14.6,72,24.9,3,0,1,0,2007
49ers  49ers,57,3457,4,7.0,45,21.8,7,2,2,1,2007
Chargers  Chargers,84,5275,7,8.3,75,20.9,1,0,1,0,2007
Steelers  Steelers,86,5284,10,11.6,73,22.6,2,1,1,1,2007
Cardinals  Cardinals,81,5216,17,21.0,60,23.2,3,3,0,0,2007
Eagles  Eagles,78,4824,6,7.7,69,22.3,2,1,1,0,2007
Jets  Jets,65,3970,9,13.8,51,24.9,5,1,2,1,2007
Giants  Giants,83,5120,8,9.6,69,23.1,2,0,4,1,2007
Saints  Saints,77,4781,16,20.8,56,22.4,5,1,2,1,2007
Patriots  Patriots,112,7220,15,13.4,92,22.1,0,0,3,1,2007
Vikings  Vikings,79,4974,9,11.4,65,22.2,3,1,2,0,2007
Dolphins  Dolphins,67,3878,8,11.9,50,25.8,6,0,3,2,2007
Raiders  Raiders,68,4418,22,32.4,43,22.4,2,1,1,1,2007
Rams  Rams,66,4183,5,7.6,58,27.2,1,0,1,2,2007
Chiefs  Chiefs,59,3897,5,8.5,51,21.7,0,0,3,0,2007
Jaguars  Jaguars,88,5620,17,19.3,67,19.7,1,1,3,2,2007
Colts  Colts,91,5915,9,9.9,81,25.0,0,0,1,3,2007
Texans  Texans,84,5295,11,13.1,69,23.1,4,1,0,0,2007
Titans  Titans,75,5071,16,21.3,58,24.2,0,0,1,0,2007
Packers  Packers,93,5857,14,15.1,77,20.9,2,0,1,0,2007
Lions  Lions,83,5394,13,15.7,65,26.9,2,0,3,2,2007
Broncos  Broncos,76,4956,13,17.1,62,23.0,0,0,1,1,2007
Cowboys  Cowboys,94,5887,4,4.3,86,23.0,1,1,2,1,2007
Browns  Browns,85,5221,5,5.9,76,20.9,0,0,2,0,2007
Bengals  Bengals,88,5377,8,9.1,76,22.8,1,0,2,0,2007
Bears  Bears,79,4698,3,3.8,71,19.3,3,0,4,1,2007
