Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk,Year
Redskins  Redskins,7.5,40,299,0,4,1,62,10,3,0,2007
Buccaneers  Buccaneers,6.7,50,334,0,4,0,35,13,2,0,2007
Seahawks  Seahawks,11.3,58,658,1,9,2,94T,8,2,0,2007
49ers  49ers,8.6,56,483,0,6,3,51,9,3,1,2007
Chargers  Chargers,8.8,32,281,1,5,1,45T,8,2,0,2007
Steelers  Steelers,6.1,39,238,0,3,1,49,9,4,0,2007
Cardinals  Cardinals,9.4,42,395,1,3,2,73T,6,0,0,2007
Eagles  Eagles,8.1,42,340,0,3,1,64,12,6,0,2007
Jets  Jets,9.2,20,183,0,3,0,33,14,1,1,2007
Giants  Giants,7.4,43,319,0,3,0,27,18,1,0,2007
Saints  Saints,8.2,24,197,0,2,1,48,16,3,0,2007
Patriots  Patriots,9.4,33,311,0,5,0,35,18,2,1,2007
Vikings  Vikings,8.3,29,242,0,1,1,42,19,1,0,2007
Dolphins  Dolphins,9.6,24,230,1,2,1,87T,15,3,0,2007
Raiders  Raiders,5.5,38,209,0,2,1,54,16,7,0,2007
Rams  Rams,11.9,30,357,1,4,1,85T,14,4,0,2007
Chiefs  Chiefs,7.6,40,302,0,3,0,22,14,3,1,2007
Jaguars  Jaguars,10.1,32,324,0,3,1,56,14,4,0,2007
Colts  Colts,11.2,25,280,1,3,1,90T,14,0,1,2007
Texans  Texans,8.7,33,287,0,2,1,74,8,2,0,2007
Titans  Titans,8.7,42,367,0,4,0,39,16,5,0,2007
Packers  Packers,10.3,48,492,2,5,2,94T,5,2,0,2007
Lions  Lions,8.2,18,148,0,0,0,18,20,1,2,2007
Broncos  Broncos,9.1,23,209,1,2,1,80T,17,2,1,2007
Cowboys  Cowboys,8.7,26,227,0,2,1,49,21,1,0,2007
Browns  Browns,13.5,30,405,1,6,2,76T,10,3,0,2007
Bengals  Bengals,4.9,27,131,0,0,0,19,18,0,1,2007
Bears  Bears,14.8,44,651,4,10,4,89T,6,6,3,2007
Panthers  Panthers,8.4,32,269,0,3,0,34,19,2,0,2007
Bills  Bills,15.4,31,476,1,8,2,74T,4,2,0,2007
Ravens  Ravens,9.7,35,338,2,3,2,75T,12,4,0,2007
Falcons  Falcons,6.3,36,228,0,2,0,23,18,1,0,2007
Redskins  Redskins,8.4,45,378,1,4,1,80T,21,2,0,2008
Buccaneers  Buccaneers,9.4,47,440,1,3,2,70T,11,1,2,2008
Seahawks  Seahawks,10.1,35,353,0,5,0,30,17,1,0,2008
49ers  49ers,10.3,29,298,0,3,1,45,12,1,1,2008
Chargers  Chargers,10.3,26,269,0,4,1,43,13,1,0,2008
Steelers  Steelers,6.0,41,247,0,3,0,35,19,4,1,2008
Cardinals  Cardinals,7.2,33,237,0,3,0,25,10,1,1,2008
Eagles  Eagles,8.6,52,446,1,3,2,68T,16,3,0,2008
Jets  Jets,10.4,29,303,0,4,0,37,9,1,0,2008
Giants  Giants,8.6,39,337,0,4,2,50,18,2,0,2008
Saints  Saints,11.9,26,310,3,4,3,71T,17,1,0,2008
Patriots  Patriots,10.3,36,371,0,3,1,44,16,0,0,2008
Vikings  Vikings,8.0,34,273,1,4,1,82T,23,3,0,2008
Dolphins  Dolphins,10.2,28,285,0,3,0,27,11,2,1,2008
Raiders  Raiders,13.0,44,570,3,7,3,93T,12,0,1,2008
Rams  Rams,8.4,29,245,0,3,0,34,10,0,0,2008
Chiefs  Chiefs,6.5,26,169,0,1,0,32,5,0,0,2008
Jaguars  Jaguars,9.5,29,275,0,4,0,38,17,2,0,2008
Colts  Colts,6.0,22,132,0,1,0,25,13,4,0,2008
Texans  Texans,12.1,32,386,2,6,2,73T,17,4,0,2008
Titans  Titans,9.7,34,329,0,5,1,44,21,2,1,2008
Packers  Packers,10.8,37,398,2,5,2,76T,11,5,0,2008
Lions  Lions,8.0,21,168,0,2,0,27,13,2,0,2008
Broncos  Broncos,9.8,20,196,0,4,0,36,10,1,0,2008
Cowboys  Cowboys,6.4,37,238,0,1,0,33,9,3,1,2008
Browns  Browns,8.4,30,251,0,1,0,32,7,0,0,2008
Bengals  Bengals,7.9,32,253,0,2,0,34,7,0,0,2008
Bears  Bears,6.7,39,261,0,4,0,25,15,3,2,2008
Panthers  Panthers,10.8,42,453,0,5,1,55,20,0,0,2008
Bills  Bills,15.5,30,464,1,9,2,63T,10,3,0,2008
Ravens  Ravens,8.6,44,378,0,6,2,46,20,3,1,2008
Falcons  Falcons,8.8,43,379,1,5,1,61T,12,4,1,2008
Redskins  Redskins,4.8,32,152,0,1,1,43,22,6,0,2009
Buccaneers  Buccaneers,11.6,40,462,1,4,1,77T,10,1,2,2009
Seahawks  Seahawks,7.5,46,346,0,4,0,29,12,2,0,2009
49ers  49ers,4.4,49,216,0,0,0,18,13,8,0,2009
Chargers  Chargers,7.0,26,183,1,1,1,77T,13,3,1,2009
Steelers  Steelers,8.1,36,290,0,3,0,25,25,2,0,2009
Cardinals  Cardinals,6.8,45,308,0,4,1,64,13,4,0,2009
Eagles  Eagles,13.5,35,471,2,8,3,85T,19,1,0,2009
Jets  Jets,9.1,50,457,0,3,0,37,26,2,1,2009
Giants  Giants,10.9,36,393,1,4,1,79T,18,2,0,2009
Saints  Saints,4.6,33,152,0,2,0,23,17,2,0,2009
Patriots  Patriots,11.4,38,432,0,4,2,69,19,2,0,2009
Vikings  Vikings,9.5,48,455,0,5,0,36,18,3,0,2009
Dolphins  Dolphins,7.2,33,237,0,1,0,22,13,4,0,2009
Raiders  Raiders,4.9,36,177,0,0,0,19,23,6,0,2009
Rams  Rams,10.7,37,395,0,6,1,56,14,5,0,2009
Chiefs  Chiefs,6.5,32,209,0,0,0,19,24,5,1,2009
Jaguars  Jaguars,8.6,27,233,0,3,2,44,7,3,0,2009
Colts  Colts,5.2,29,151,0,1,0,22,23,2,0,2009
Texans  Texans,10.0,45,449,0,7,2,62,15,2,0,2009
Titans  Titans,6.7,33,220,0,0,0,18,22,5,0,2009
Packers  Packers,6.9,34,236,0,2,1,45,12,2,0,2009
Lions  Lions,8.3,28,233,0,1,1,43,15,3,0,2009
Broncos  Broncos,9.5,44,419,1,4,1,71T,16,1,0,2009
Cowboys  Cowboys,10.9,39,426,2,6,2,82T,23,5,0,2009
Browns  Browns,11.7,39,456,1,5,3,67T,3,2,0,2009
Bengals  Bengals,11.9,40,474,0,4,2,60,19,2,0,2009
Bears  Bears,8.5,39,330,1,6,1,49T,7,3,0,2009
Panthers  Panthers,8.3,34,282,0,4,0,37,11,4,0,2009
Bills  Bills,6.6,33,218,0,4,0,31,18,7,0,2009
Ravens  Ravens,7.4,39,290,0,3,0,34,18,3,0,2009
Falcons  Falcons,10.0,27,270,0,3,0,28,14,1,1,2009
Redskins  Redskins,10.8,40,432,0,6,1,53,13,2,0,2010
Buccaneers  Buccaneers,6.4,30,193,0,2,0,23,16,3,0,2010
Seahawks  Seahawks,11.1,42,468,0,6,4,84,14,3,1,2010
49ers  49ers,11.8,31,366,1,4,2,78T,25,2,1,2010
Chargers  Chargers,10.5,40,420,0,3,2,62,19,1,0,2010
Steelers  Steelers,6.1,37,226,0,3,0,38,19,3,1,2010
Cardinals  Cardinals,7.0,42,294,0,2,0,25,8,5,0,2010
Eagles  Eagles,10.6,38,404,1,4,2,65T,19,3,0,2010
Jets  Jets,9.4,56,529,0,5,0,32,25,3,1,2010
Giants  Giants,6.1,43,263,0,3,0,22,13,4,0,2010
Saints  Saints,7.8,27,210,0,2,2,72,18,3,0,2010
Patriots  Patriots,13.4,27,361,1,5,2,94T,14,2,1,2010
Vikings  Vikings,8.6,42,361,0,4,1,52,22,2,0,2010
Dolphins  Dolphins,10.5,28,293,0,2,1,47,22,4,0,2010
Raiders  Raiders,7.0,55,386,0,3,2,53,11,2,2,2010
Rams  Rams,11.3,40,452,0,7,2,42,19,0,1,2010
Chiefs  Chiefs,10.1,52,524,1,6,1,94T,9,2,0,2010
Jaguars  Jaguars,10.0,36,359,1,5,3,78T,8,3,1,2010
Colts  Colts,6.9,31,214,0,0,0,18,24,3,1,2010
Texans  Texans,6.7,35,235,0,1,0,39,16,0,0,2010
Titans  Titans,12.2,27,329,1,4,1,87T,17,1,1,2010
Packers  Packers,7.9,41,325,0,3,2,52,19,2,0,2010
Lions  Lions,12.1,30,362,0,4,1,71,21,2,0,2010
Broncos  Broncos,10.4,31,323,0,3,0,33,15,4,0,2010
Cowboys  Cowboys,15.9,24,382,3,5,3,97T,14,5,0,2010
Browns  Browns,10.7,22,235,0,1,1,69,11,4,0,2010
Bengals  Bengals,7.2,36,258,0,2,0,27,21,1,0,2010
Bears  Bears,17.1,33,564,3,9,5,89T,10,0,0,2010
Panthers  Panthers,9.6,39,373,0,7,0,37,6,4,1,2010
Bills  Bills,10.5,32,336,0,8,0,34,18,4,0,2010
Ravens  Ravens,7.4,43,319,0,4,0,35,26,3,0,2010
Falcons  Falcons,12.1,19,230,1,1,1,55T,19,1,0,2010
Redskins  Redskins,8.9,37,328,0,8,1,55,9,5,0,2011
Buccaneers  Buccaneers,8.0,29,231,0,3,0,34,14,6,0,2011
Seahawks  Seahawks,11.0,42,464,0,7,0,37,16,2,2,2011
49ers  49ers,12.4,44,544,1,10,3,55T,23,1,0,2011
Chargers  Chargers,8.5,31,264,0,2,0,31,12,1,0,2011
Steelers  Steelers,10.5,33,347,1,6,2,60T,26,0,0,2011
Cardinals  Cardinals,15.1,46,696,4,8,5,99T,22,3,0,2011
Eagles  Eagles,7.1,30,212,0,3,1,51,28,4,0,2011
Jets  Jets,9.7,44,426,0,5,1,53,21,6,1,2011
Giants  Giants,6.1,28,171,0,0,0,18,21,3,0,2011
Saints  Saints,10.1,29,294,1,5,1,72T,19,0,0,2011
Patriots  Patriots,10.2,38,389,1,2,1,72T,13,4,0,2011
Vikings  Vikings,8.4,33,277,0,3,1,53,20,0,0,2011
Dolphins  Dolphins,11.4,46,526,0,5,0,25,24,3,2,2011
Raiders  Raiders,8.3,32,264,0,3,0,34,9,1,0,2011
Rams  Rams,11.0,27,297,1,3,1,88T,25,4,1,2011
Chiefs  Chiefs,11.9,40,475,0,6,0,37,10,2,0,2011
Jaguars  Jaguars,4.4,34,148,0,2,0,28,19,1,1,2011
Colts  Colts,3.4,32,108,0,2,0,21,23,0,0,2011
Texans  Texans,10.4,51,529,1,7,5,79T,11,0,0,2011
Titans  Titans,10.4,47,490,1,7,1,79T,18,1,2,2011
Packers  Packers,10.9,27,295,1,3,3,80T,19,2,0,2011
Lions  Lions,7.9,38,301,0,2,0,28,28,5,0,2011
Broncos  Broncos,12.7,47,596,2,6,2,90T,19,4,0,2011
Cowboys  Cowboys,7.1,41,293,0,3,0,25,14,2,0,2011
Browns  Browns,11.1,38,423,1,6,2,84T,9,4,0,2011
Bengals  Bengals,11.5,53,610,1,6,3,63,18,1,0,2011
Bears  Bears,15.7,30,470,2,9,3,82T,16,4,0,2011
Panthers  Panthers,5.5,32,176,0,0,0,17,9,0,0,2011
Bills  Bills,12.7,26,329,1,4,2,80T,21,1,0,2011
Ravens  Ravens,9.6,36,345,1,4,1,68T,27,3,0,2011
Falcons  Falcons,9.5,33,315,0,2,1,42,19,1,0,2011
Redskins  Redskins,9.3,36,335,0,5,1,64,7,4,0,2012
Buccaneers  Buccaneers,9.0,36,324,0,4,0,39,19,2,3,2012
Seahawks  Seahawks,8.5,42,355,0,5,1,52,18,1,1,2012
49ers  49ers,10.5,36,378,0,5,0,38,18,3,1,2012
Chargers  Chargers,9.7,33,320,1,5,1,63T,22,4,1,2012
Steelers  Steelers,7.3,41,300,0,5,1,63,19,4,0,2012
Cardinals  Cardinals,8.2,54,441,0,4,0,26,14,6,1,2012
Eagles  Eagles,10.3,30,310,1,2,1,98T,26,2,1,2012
Jets  Jets,10.3,23,238,1,2,1,68T,38,3,0,2012
Giants  Giants,7.2,20,144,0,0,0,18,19,1,0,2012
Saints  Saints,7.6,25,190,0,3,0,37,20,0,1,2012
Patriots  Patriots,12.0,42,506,1,6,2,68T,8,1,0,2012
Vikings  Vikings,9.0,32,287,1,2,1,77T,27,1,0,2012
Dolphins  Dolphins,11.2,31,346,1,4,1,72T,25,2,1,2012
Raiders  Raiders,5.1,34,173,0,2,1,47,14,4,1,2012
Rams  Rams,6.6,37,245,0,2,0,23,20,4,1,2012
Chiefs  Chiefs,8.9,43,381,0,6,0,27,8,4,1,2012
Jaguars  Jaguars,7.3,34,248,0,1,0,28,13,3,1,2012
Colts  Colts,11.1,28,312,1,1,1,75T,20,0,0,2012
Texans  Texans,10.9,38,414,0,5,2,71,16,2,2,2012
Titans  Titans,15.3,31,475,3,5,3,81T,17,1,1,2012
Packers  Packers,11.0,36,395,1,4,2,75T,22,4,1,2012
Lions  Lions,8.6,35,302,0,4,1,48,26,6,0,2012
Broncos  Broncos,9.3,48,445,1,6,2,76T,20,5,1,2012
Cowboys  Cowboys,12.4,34,420,1,8,2,78T,13,2,0,2012
Browns  Browns,14.8,41,606,1,9,3,93T,9,4,0,2012
Bengals  Bengals,10.4,47,488,1,5,2,81T,11,2,1,2012
Bears  Bears,7.6,44,333,0,5,1,44,8,3,1,2012
Panthers  Panthers,10.2,27,276,0,3,1,69,18,4,0,2012
Bills  Bills,17.1,26,445,2,7,2,88T,21,1,0,2012
Ravens  Ravens,9.4,43,404,1,3,2,63T,26,2,0,2012
Falcons  Falcons,7.9,26,205,0,2,0,28,19,0,0,2012
Redskins  Redskins,6.4,35,225,0,1,0,34,11,3,0,2013
Buccaneers  Buccaneers,11.2,24,268,0,4,2,52,20,2,2,2013
Seahawks  Seahawks,11.1,52,579,0,8,1,71,14,2,1,2013
49ers  49ers,8.9,35,312,0,3,1,40,32,3,2,2013
Chargers  Chargers,7.5,22,166,0,3,0,28,20,2,0,2013
Steelers  Steelers,12.8,32,409,1,7,5,67T,23,1,0,2013
Cardinals  Cardinals,5.8,34,198,0,1,0,22,23,4,0,2013
Eagles  Eagles,6.6,26,171,0,3,0,32,20,1,0,2013
Jets  Jets,9.0,25,224,0,2,0,24,12,0,2,2013
Giants  Giants,7.2,34,246,0,1,0,32,26,4,1,2013
Saints  Saints,6.1,32,194,0,2,0,28,25,2,0,2013
Patriots  Patriots,10.8,36,387,0,4,1,43,23,5,0,2013
Vikings  Vikings,15.2,22,335,1,5,2,86T,28,3,0,2013
Dolphins  Dolphins,7.8,34,264,0,3,0,34,20,2,1,2013
Raiders  Raiders,8.2,25,206,0,2,0,30,19,3,3,2013
Rams  Rams,8.8,43,378,1,5,1,98T,11,4,0,2013
Chiefs  Chiefs,11.8,59,695,2,11,3,89T,11,2,0,2013
