Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,Year
Redskins  Redskins,29,82.9,29,96.7,0,0,2007
Buccaneers  Buccaneers,28,84.8,34,100.0,1,0,2007
Seahawks  Seahawks,28,82.4,43,100.0,2,1,2007
49ers  49ers,17,89.5,22,100.0,0,0,2007
Chargers  Chargers,24,88.9,46,100.0,1,1,2007
Steelers  Steelers,23,92.0,44,100.0,1,0,2007
Cardinals  Cardinals,21,70.0,47,97.9,0,1,2007
Eagles  Eagles,24,75.0,36,100.0,0,0,2007
Jets  Jets,29,80.6,23,95.8,3,0,2007
Giants  Giants,23,85.2,40,95.2,1,0,2007
Saints  Saints,15,68.2,42,100.0,0,0,2007
Patriots  Patriots,21,87.5,74,100.0,2,0,2007
Vikings  Vikings,20,83.3,39,97.5,1,0,2007
Dolphins  Dolphins,21,91.3,26,100.0,0,1,2007
Raiders  Raiders,23,71.9,28,100.0,0,0,2007
Rams  Rams,24,75.0,25,100.0,0,1,2007
Chiefs  Chiefs,19,70.4,21,100.0,0,0,2007
Jaguars  Jaguars,21,87.5,46,95.8,1,0,2007
Colts  Colts,23,79.3,49,96.1,0,1,2007
Texans  Texans,25,86.2,40,100.0,4,0,2007
Titans  Titans,35,89.7,28,100.0,0,0,2007
Packers  Packers,31,79.5,48,100.0,0,2,2007
Lions  Lions,29,82.9,35,97.2,1,0,2007
Broncos  Broncos,27,87.1,33,100.0,0,1,2007
Cowboys  Cowboys,26,83.9,53,100.0,0,0,2007
Browns  Browns,26,86.7,42,97.7,2,1,2007
Bengals  Bengals,31,91.2,37,97.4,1,0,2007
Bears  Bears,31,86.1,33,100.0,2,4,2007
Panthers  Panthers,24,85.7,27,100.0,0,0,2007
Bills  Bills,24,88.9,24,100.0,1,1,2007
Ravens  Ravens,27,84.4,26,100.0,1,2,2007
Falcons  Falcons,26,76.5,25,100.0,0,0,2007
Redskins  Redskins,26,72.2,25,100.0,0,1,2008
Buccaneers  Buccaneers,32,84.2,35,97.2,1,1,2008
Seahawks  Seahawks,24,88.9,30,100.0,0,0,2008
49ers  49ers,29,87.9,34,100.0,1,0,2008
Chargers  Chargers,27,84.4,46,100.0,1,0,2008
Steelers  Steelers,27,87.1,36,97.3,0,0,2008
Cardinals  Cardinals,25,89.3,44,100.0,1,0,2008
Eagles  Eagles,33,82.5,45,100.0,1,1,2008
Jets  Jets,24,82.8,41,100.0,1,0,2008
Giants  Giants,36,92.3,41,100.0,0,0,2008
Saints  Saints,22,81.5,53,98.1,0,3,2008
Patriots  Patriots,36,90.0,40,100.0,1,0,2008
Vikings  Vikings,29,85.3,40,100.0,0,1,2008
Dolphins  Dolphins,21,84.0,40,100.0,0,0,2008
Raiders  Raiders,24,80.0,25,96.2,2,3,2008
Rams  Rams,31,86.1,19,100.0,0,0,2008
Chiefs  Chiefs,16,72.7,31,100.0,0,0,2008
Jaguars  Jaguars,19,76.0,33,100.0,0,0,2008
Colts  Colts,20,80.0,43,100.0,0,0,2008
Texans  Texans,29,87.9,37,100.0,0,2,2008
Titans  Titans,29,87.9,40,100.0,0,0,2008
Packers  Packers,27,79.4,46,100.0,0,2,2008
Lions  Lions,21,95.5,25,96.2,0,0,2008
Broncos  Broncos,25,73.5,39,97.5,0,0,2008
Cowboys  Cowboys,20,90.9,42,100.0,1,0,2008
Browns  Browns,30,83.3,18,100.0,1,0,2008
Bengals  Bengals,22,88.0,18,100.0,0,0,2008
Bears  Bears,26,89.7,41,100.0,1,0,2008
Panthers  Panthers,28,90.3,46,100.0,0,0,2008
Bills  Bills,30,78.9,34,100.0,1,1,2008
Ravens  Ravens,28,80.0,41,100.0,0,0,2008
Falcons  Falcons,29,93.5,42,100.0,0,1,2008
Redskins  Redskins,22,88.0,26,92.9,0,0,2009
Buccaneers  Buccaneers,16,61.5,24,100.0,1,1,2009
Seahawks  Seahawks,24,92.3,28,100.0,0,0,2009
49ers  49ers,19,79.2,39,100.0,0,0,2009
Chargers  Chargers,32,91.4,50,98.0,0,1,2009
Steelers  Steelers,27,87.1,41,100.0,0,0,2009
Cardinals  Cardinals,18,94.7,45,97.8,1,0,2009
Eagles  Eagles,32,86.5,43,95.6,0,2,2009
Jets  Jets,30,83.3,32,100.0,1,0,2009
Giants  Giants,27,84.4,45,100.0,0,1,2009
Saints  Saints,22,78.6,60,95.2,1,0,2009
Patriots  Patriots,26,83.9,47,100.0,0,0,2009
Vikings  Vikings,26,92.9,54,98.2,2,0,2009
Dolphins  Dolphins,25,89.3,37,97.4,2,0,2009
Raiders  Raiders,26,89.7,17,100.0,0,0,2009
Rams  Rams,19,79.2,16,100.0,0,0,2009
Chiefs  Chiefs,25,86.2,29,100.0,1,0,2009
Jaguars  Jaguars,18,64.3,30,96.8,0,0,2009
Colts  Colts,16,80.0,50,98.0,1,0,2009
Texans  Texans,21,65.6,43,97.7,1,0,2009
Titans  Titans,27,84.4,37,100.0,0,0,2009
Packers  Packers,27,75.0,48,98.0,0,0,2009
Lions  Lions,21,75.0,25,100.0,0,0,2009
Broncos  Broncos,30,85.7,32,100.0,1,1,2009
Cowboys  Cowboys,20,64.5,41,100.0,0,2,2009
Browns  Browns,23,92.0,22,95.7,3,1,2009
Bengals  Bengals,23,82.1,28,96.6,1,0,2009
Bears  Bears,24,85.7,33,100.0,1,1,2009
Panthers  Panthers,22,81.5,31,96.9,0,0,2009
Bills  Bills,28,84.8,24,100.0,0,0,2009
Ravens  Ravens,21,70.0,46,97.9,1,0,2009
Falcons  Falcons,19,65.5,42,97.7,0,0,2009
